Varieties	Group	Noden	Length	Ac_len	sd	se	ci
93-11	G2	Node1	1.3555556	1.3555556	1.2650209	0.4216736	0.9723811
93-11	G2	Node2	6.7444444	8.1	1.1620145	0.3873382	0.8932034
93-11	G2	Node3	11.5222222	19.6222222	1.1088032	0.3696011	0.8523016
93-11	G2	Node4	16.1444444	35.7666666	1.8842181	0.6280727	1.4483382
93-11	G2	Node5	18.4444444	54.211111	0.9799376	0.3266459	0.7532467
93-11	G2	Node6	31.6888889	85.8999999	2.0096296	0.6698765	1.5447381
H1	G3	Node1	6.9333333	6.9333333	1.1958261	0.3986087	0.9191933
H1	G3	Node2	14.2333333	21.1666666	1.0464225	0.3488075	0.8043515
H1	G3	Node3	25.9222222	47.0888888	1.4280912	0.4760304	1.0977281
H1	G3	Node4	28.7888889	75.8777777	1.0833333	0.3611111	0.8327237
H1	G3	Node5	39.1777778	115.0555555	2.0011108	0.6670369	1.5381899
H1	G3	Node6	46.6	161.6555555	1.7370953	0.5790318	1.3352496
