Type	Gene	Rep	EV	35S:AtNPR4	35S:MpNPR1
Col-0	pWRKY70	1	1.114973	0.661196	1.521926
Col-0	pWRKY70	2	0.94644	0.638921	1.25149
Col-0	pWRKY70	3	0.944874	0.698721	1.197564
Col-0	pWRKY70	4	0.993714	0.610788	1.371393
npr3/npr4	pWRKY70	1	1.89133	0.749367	1.875788
npr3/npr4	pWRKY70	2	1.796146	0.760822	1.587977
npr3/npr4	pWRKY70	3	1.706294	0.696689	2.097778
npr3/npr4	pWRKY70	4	1.75993	0.687501	1.934648
Col-0	pSARD1	1	1.018771	0.811835	1.385031
Col-0	pSARD1	2	0.957098	0.825801	1.674729
Col-0	pSARD1	3	1.07372	0.715703	1.515723
Col-0	pSARD1	4	0.950411	0.847685	1.49549
npr3/npr4	pSARD1	1	1.914196	0.876719	1.594719
npr3/npr4	pSARD1	2	1.316228	0.850172	1.823666
npr3/npr4	pSARD1	3	1.574404	0.844892	1.632819
npr3/npr4	pSARD1	4	1.564965	0.886268	1.835432
