Group	Treatment	Sample	Average	SD	SE
Cr	ML	Cr-WT	0.99995728	0.124929028	0.051002062
Cr	HL	Cr-WT	1.630775044	0.13955482	0.080572013
Cr	NA	NA	NA	NA	NA
Cr	ML	Craim1	0.241748687	0.011444196	0.005722098
Cr	HL	Craim1	0.298421689	0.029191127	0.014595564
Cr	NA	NA	NA	NA	NA
Cr	ML	Craim1OE	1.009079348	0.068772698	0.034386349
Cr	HL	Craim1OE	1.639336467	0.075350532	0.04350365
Cr	NA	NA	NA	NA	NA
Cr	NA	NA	NA	NA	NA
Mp	ML	Mp-WT	1.000102833	0.100754905	0.050377453
Mp	HL	Mp-WT	1.363459667	0.126211795	0.056443631
Mp	NA	NA	NA	NA	NA
Mp	NA	NA	NA	NA	NA
At	ML	At-WT	0.999960281	0.097028833	0.048514417
At	HL	At-WT	1.410024585	0.132949648	0.076758515
At	NA	NA	NA	NA	NA
At	NA	NA	NA	NA	NA
Os	ML	Osaim1C	0.979461009	0.111458384	0.064350528
Os	HL	Osaim1C	1.316664872	0.218732314	0.12628516
Os	NA	NA	NA	NA	NA
Os	ML	Osaim1	0.122219625	0.026181378	0.015115826
Os	HL	Osaim1	0.136715433	0.043423249	0.021711624
Os	NA	NA	NA	NA	NA
Os	ML	Os-WT	1.000001237	0.057104125	0.032969082
Os	HL	Os-WT	1.379973355	0.161768057	0.080884029
Os	NA	NA	NA	NA	NA
Os	NA	NA	NA	NA	NA
Os	NA	NA	NA	NA	NA
Os	NA	NA	NA	NA	NA
