Varieties	Group	Noden	Length	Ac_len	sd	se	ci
SLX	G1	Node1	4.9666667	4.9666667	2.2410935	0.7470312	1.7226569
SLX	G1	Node2	12.7666667	17.7333334	5.9849812	1.9949937	4.6004638
SLX	G1	Node3	26.0777778	43.8111112	2.1329427	0.7109809	1.6395249
SLX	G1	Node4	32.8666667	76.6777779	2.5597851	0.8532617	1.967625
SLX	G1	Node5	44.2444444	120.9222223	2.2765715	0.7588572	1.7499278
SLX	G1	Node6	0	0	0	0	0
CN422	G1	Node1	5.1111111	5.1111111	1.4529663	0.4843221	1.1168488
CN422	G1	Node2	15.5777778	20.6888889	5.0425137	1.6808379	3.8760192
CN422	G1	Node3	28.0333333	48.7222222	2.4703239	0.8234413	1.898859
CN422	G1	Node4	26.3	75.0222222	2.8407745	0.9469248	2.1836126
CN422	G1	Node5	35.0222222	110.0444444	2.3381498	0.7793833	1.797261
CN422	G1	Node6	44.5666667	154.6111111	2.4879711	0.8293237	1.9124239
ZN4	G1	Node1	0.3555556	0.3555556	0.7073032	0.2357677	0.5436813
ZN4	G1	Node2	4.3888889	4.7444445	1.5349629	0.5116543	1.1798769
ZN4	G1	Node3	12.2333333	16.9777778	2.4899799	0.8299933	1.913968
ZN4	G1	Node4	23.6111111	40.5888889	2.3051271	0.7683757	1.7718776
ZN4	G1	Node5	33.0666667	73.6555556	2.3075962	0.7691987	1.7737754
ZN4	G1	Node6	38.7444444	112.4	2.6029364	0.8676455	2.000794
AZZ	G2	Node1	2.2444444	2.2444444	0.8171767	0.2723922	0.6281376
AZZ	G2	Node2	6.4777778	8.7222222	1.2872235	0.4290745	0.9894476
AZZ	G2	Node3	8.5777778	17.3	1.3330208	0.4443403	1.0246505
AZZ	G2	Node4	13.9555556	31.2555556	1.9040162	0.6346721	1.4635564
AZZ	G2	Node5	15.7333333	46.9888889	2.1201415	0.7067138	1.629685
AZZ	G2	Node6	31.1777778	78.1666667	2.7458049	0.9152683	2.1106125
AJNT	G2	Node1	0.5777778	0.5777778	0.5847602	0.1949201	0.4494864
AJNT	G2	Node2	3.3222222	3.9	1.2457706	0.4152569	0.9575841
AJNT	G2	Node3	10.2222222	14.1222222	2.5767119	0.858904	1.9806361
AJNT	G2	Node4	16.9666667	31.0888889	2.4269322	0.8089774	1.8655052
AJNT	G2	Node5	29.7666667	60.8555556	1.086278	0.3620927	0.8349872
AJNT	G2	Node6	0	0	0	0	0
IR36	G2	Node1	0.9666667	0.9666667	0.8124038	0.2708013	0.6244689
IR36	G2	Node2	3.5555556	4.5222223	0.8661858	0.2887286	0.6658093
IR36	G2	Node3	6.1666667	10.688889	1.6763055	0.5587685	1.2885224
IR36	G2	Node4	10	20.688889	1.3955286	0.4651762	1.0726982
IR36	G2	Node5	14.9888889	35.6777779	1.6848178	0.5616059	1.2950656
IR36	G2	Node6	23.7555556	59.4333335	1.5191372	0.5063791	1.1677122
MH63	G2	Node1	1.5555556	1.5555556	2.1131204	0.7043735	1.6242881
MH63	G2	Node2	5.6111111	7.1666667	0.7406829	0.2468943	0.5693393
MH63	G2	Node3	9.0777778	16.2444445	0.9444281	0.3148094	0.7259517
MH63	G2	Node4	13.1333333	29.3777778	1.5508062	0.5169354	1.1920552
MH63	G2	Node5	17.4333333	46.8111111	1.1434597	0.3811532	0.8789409
MH63	G2	Node6	33.1111111	79.9222222	2.1073944	0.7024648	1.6198867
HHZ	G2	Node1	2.5555556	2.5555556	1.5297966	0.5099322	1.1759058
HHZ	G2	Node2	7.3555556	9.9111112	1.4875408	0.4958469	1.1434251
HHZ	G2	Node3	10.2777778	20.188889	1.226558	0.4088527	0.9428159
HHZ	G2	Node4	16.3	36.488889	1.4517231	0.4839077	1.1158932
HHZ	G2	Node5	37.4555556	73.9444446	2.0261485	0.6753828	1.5574356
HHZ	G2	Node6	0	0	0	0	0
93-11	G2	Node1	1.3555556	1.3555556	1.2650209	0.4216736	0.9723811
93-11	G2	Node2	6.7444444	8.1	1.1620145	0.3873382	0.8932034
93-11	G2	Node3	11.5222222	19.6222222	1.1088032	0.3696011	0.8523016
93-11	G2	Node4	16.1444444	35.7666666	1.8842181	0.6280727	1.4483382
93-11	G2	Node5	18.4444444	54.211111	0.9799376	0.3266459	0.7532467
93-11	G2	Node6	31.6888889	85.8999999	2.0096296	0.6698765	1.5447381
PA64s	G2	Node1	1.1111111	1.1111111	0.7557189	0.2519063	0.580897
PA64s	G2	Node2	4.3333333	5.4444444	1.4679918	0.4893306	1.1283984
PA64s	G2	Node3	8.7444444	14.1888888	0.8278151	0.2759384	0.636315
PA64s	G2	Node4	12.6777778	26.8666666	1.5246129	0.5082043	1.1719212
PA64s	G2	Node5	17.1111111	43.9777777	1.4936904	0.4978968	1.1481521
PA64s	G2	Node6	30.8111111	74.7888888	1.5061909	0.5020636	1.1577608
H1	G3	Node1	6.9333333	6.9333333	1.1958261	0.3986087	0.9191933
H1	G3	Node2	14.2333333	21.1666666	1.0464225	0.3488075	0.8043515
H1	G3	Node3	25.9222222	47.0888888	1.4280912	0.4760304	1.0977281
H1	G3	Node4	28.7888889	75.8777777	1.0833333	0.3611111	0.8327237
H1	G3	Node5	39.1777778	115.0555555	2.0011108	0.6670369	1.5381899
H1	G3	Node6	46.6	161.6555555	1.7370953	0.5790318	1.3352496
H2	G3	Node1	4.1666667	4.1666667	3.5355339	1.1785113	2.7176519
H2	G3	Node2	14.7888889	18.9555556	3.3073571	1.1024524	2.5422597
H2	G3	Node3	26.2777778	45.2333334	1.6656664	0.5552221	1.2803445
H2	G3	Node4	28.9666667	74.2000001	1.0677078	0.3559026	0.8207129
H2	G3	Node5	34.2666667	108.4666668	1.1608187	0.3869396	0.8922842
H2	G3	Node6	44.4666667	152.9333335	2.6594172	0.8864724	2.044209
H3	G3	Node1	5.7222222	5.7222222	3.1779623	1.0593208	2.4427981
H3	G3	Node2	20.0555556	25.7777778	7.432044	2.477348	5.7127747
H3	G3	Node3	32.1666667	57.9444445	0.6062178	0.2020726	0.4659802
H3	G3	Node4	34.2777778	92.2222223	2.2297857	0.7432619	1.713965
H3	G3	Node5	33.4555556	125.6777779	3.4807008	1.1602336	2.6755034
H3	G3	Node6	46.6777778	172.3555557	2.4319631	0.8106544	1.8693723
