gene_id	log2FoldChange	pvalue
G1	-4.460184325	1.60E-54
G2	2.392266796	3.75E-21
G3	-3.570566128	2.95E-19
G4	4.546125084	1.12E-18
G5	2.011214099	9.05E-18
G6	1.591262422	1.23E-15
G7	5.35617022	1.33E-15
G8	1.827504031	1.72E-15
G9	-9.731188203	2.02E-15
G10	2.684240373	4.11E-15
G11	-4.418754623	2.12E-14
G12	-9.098078327	7.26E-13
G13	1.709170453	1.30E-12
G14	2.774933154	3.15E-12
G15	1.157045435	3.69E-12
G16	1.216967552	3.86E-12
G17	1.594686325	9.79E-12
G18	8.943305004	1.33E-11
G19	8.623032073	4.95E-11
G20	-1.893058922	6.76E-11
G21	1.121059481	1.21E-10
G22	-1.351814094	1.56E-10
G23	4.246528269	3.84E-10
G24	2.260999018	4.23E-10
G25	1.815324634	6.16E-10
G26	2.581495015	7.15E-10
G27	-2.31081667	8.36E-10
G28	1.309951615	1.54E-09
G29	-2.324589134	2.21E-09
G30	-3.546020996	2.29E-09
G31	1.006891113	4.38E-09
G32	1.115877686	5.13E-09
G33	-6.61564211	5.68E-09
G34	-3.292438095	6.41E-09
G35	1.263556716	6.46E-09
G36	1.905898035	8.51E-09
G37	1.517278571	2.08E-08
G38	1.514585725	2.19E-08
G39	2.518294322	2.32E-08
G40	-7.641060334	2.73E-08
G41	1.206880812	4.92E-08
G42	1.354342733	5.52E-08
G43	1.306332707	5.77E-08
G44	-7.114990002	6.40E-08
G45	7.78559517	6.53E-08
G46	1.295082122	1.34E-07
G47	-3.808939321	1.40E-07
G48	1.553457944	1.66E-07
G49	-1.030930282	2.53E-07
G50	0.990975768	2.81E-07
G51	1.257159321	3.25E-07
G52	1.562432356	3.40E-07
G53	1.251777166	4.23E-07
G54	-2.102870075	4.97E-07
G55	6.613578966	5.44E-07
G56	1.635190949	5.64E-07
G57	4.489495206	5.94E-07
G58	-1.816133474	6.39E-07
G59	1.235375195	6.45E-07
G60	1.974723161	6.53E-07
G61	0.915648361	7.53E-07
G62	7.331769422	8.89E-07
G63	0.984901632	9.03E-07
G64	1.197077041	1.58E-06
G65	0.957990313	1.92E-06
G66	1.158873678	1.93E-06
G67	7.108963034	2.22E-06
G68	1.335926477	2.56E-06
G69	-3.537048639	2.70E-06
G70	0.809861212	2.88E-06
G71	-1.753712476	2.90E-06
G72	-3.335777821	2.97E-06
G73	3.9679694	2.98E-06
G74	0.693647116	3.02E-06
G75	1.045449203	3.42E-06
G76	0.826622232	3.48E-06
G77	0.958659408	3.50E-06
G78	2.232337206	3.74E-06
G79	4.156317793	3.78E-06
G80	-1.104743644	5.89E-06
G81	3.311238903	6.42E-06
G82	6.895501963	7.53E-06
G83	1.077149359	7.63E-06
G84	-1.204112344	8.26E-06
G85	-1.389882552	9.08E-06
G86	1.699155501	9.26E-06
G87	0.875481531	9.26E-06
G88	-1.204344971	9.54E-06
G89	-1.531402708	1.07E-05
G90	3.380861633	1.09E-05
G91	0.88309361	1.24E-05
G92	-2.771608306	1.26E-05
G93	1.375192477	1.31E-05
G94	-1.489370232	1.33E-05
G95	0.864312383	1.36E-05
G96	1.014552528	1.51E-05
G97	-0.938363857	1.70E-05
G98	-1.13482628	1.74E-05
G99	0.772523448	1.85E-05
G100	4.229080144	2.13E-05
G101	-3.003127298	2.15E-05
G102	-1.507000176	2.22E-05
G103	6.711137453	2.30E-05
G104	5.110423937	2.34E-05
G105	1.436985092	2.36E-05
G106	1.332653949	2.44E-05
G107	0.912504213	2.66E-05
G108	-0.854678278	2.90E-05
G109	0.926641169	2.93E-05
G110	2.52878688	2.95E-05
G111	-2.021532353	3.09E-05
