chr	start	end	co_num	marker_den	te_prop
chr01	0	17784	0	0	0
chr01	17784	67784	0	0.22	0.16978
chr01	67784	117784	0	0.06	0.232
chr01	117784	167784	0	0.1	0.48918
chr01	167784	217784	0	2.44	0
chr01	217784	267784	1	5.56	0.00624
chr01	267784	317784	1	3.4	0.24794
chr01	317784	367784	1	4.24	0
chr01	367784	417784	0	6.66	0
chr01	417784	467784	0	10.22	0.0301
chr01	467784	517784	0	0.22	0.25512
chr01	517784	567784	1	1.92	0.141
chr01	567784	617784	0	10.94	0.11362
chr01	617784	667784	0	7.74	0.10136
chr01	667784	717784	0	2.64	0.2029
chr01	717784	767784	0	7.08	0.10314
chr01	767784	817784	0	1.82	0.03796
chr01	817784	867784	0	3.02	0.27086
chr01	867784	917784	0	0.92	0.37756
chr01	917784	967784	0	2.94	0.24894
chr01	967784	1017784	0	4.2	0
chr01	1017784	1067784	0	4.26	0.11858
chr01	1067784	1117784	0	2.92	0.01802
chr01	1117784	1167784	3	5.38	0
chr01	1167784	1217784	2	1.4	0.3023
chr01	1217784	1267784	2	0.02	0.05602
chr01	1267784	1317784	0	0.1	0.03452
chr01	1317784	1367784	0	0.02	0
chr01	1367784	1417784	0	0	0.19016
chr01	1417784	1467784	0	0	0.10584
chr01	1467784	1517784	0	0	0.14998
chr01	1517784	1567784	0	0	0
chr01	1567784	1617784	0	0	0.35414
chr01	1617784	1667784	0	0	0.02618
chr01	1667784	1717784	0	0	0
chr01	1717784	1767784	0	0	0
chr01	1767784	1817784	0	0	0
chr01	1817784	1867784	0	0	0.1842
chr01	1867784	1917784	0	0	0
chr01	1917784	1967784	0	0	0.03724
chr01	1967784	2017784	0	0	0
chr01	2017784	2067784	0	0	0
chr01	2067784	2117784	0	0	0.08882
chr01	2117784	2167784	0	0	0
chr01	2167784	2217784	0	0	0.25796
chr01	2217784	2267784	0	0	0.22276
chr01	2267784	2317784	0	0	0.11174
chr01	2317784	2367784	0	0	0.12412
chr01	2367784	2417784	0	0	0.00268
chr01	2417784	2467784	0	0	0.08032
chr01	2467784	2517784	0	0	0.12632
chr01	2517784	2567784	0	0	0.09878
chr01	2567784	2617784	0	0	0
chr01	2617784	2667784	25	0	0.02562
chr01	2667784	2717784	0	0	0.00002
chr01	2717784	2767784	0	0	0.08694
chr01	2767784	2817784	0	0	0
chr01	2817784	2867784	0	0	0
chr01	2867784	2917784	0	0	0.14834
chr01	2917784	2967784	0	0	0.23394
chr01	2967784	3017784	0	0	0.17192
chr01	3017784	3067784	0	0	0.074
chr01	3067784	3117784	0	0	0.08742
chr01	3117784	3167784	0	0	0.28944
chr01	3167784	3217784	0	0	0.18884
chr01	3217784	3267784	0	0	0.17096
chr01	3267784	3317784	0	0	0
chr01	3317784	3367784	0	0	0.5079
chr01	3367784	3417784	0	0	0
chr01	3417784	3467784	0	0	0.0075
chr01	3467784	3517784	0	0	0.0852
chr01	3517784	3567784	0	0	0
chr01	3567784	3617784	0	0	0
chr01	3617784	3667784	0	0	0
chr01	3667784	3717784	0	0	0.08166
chr01	3717784	3767784	0	0	0.2235
chr01	3767784	3817784	0	0	0.1882
chr01	3817784	3867784	0	0	0.0705
chr01	3867784	3917784	0	0	0.08722
chr01	3917784	3967784	0	0.02	0
chr01	3967784	4017784	0	0	0
chr01	4017784	4067784	0	0	0.1147
chr01	4067784	4117784	0	0	0
chr01	4117784	4167784	0	0	0
chr01	4167784	4217784	0	0	0.16806
chr01	4217784	4267784	0	0	0.02922
chr01	4267784	4317784	0	0	0.00766
chr01	4317784	4367784	11	0	0.14064
chr01	4367784	4417784	0	0	0
chr01	4417784	4467784	0	0	0
chr01	4467784	4517784	0	0	0.08824
chr01	4517784	4567784	0	0	0.08948
chr01	4567784	4617784	0	0	0.21666
chr01	4617784	4667784	0	0	0.09486
chr01	4667784	4717784	0	0	0
chr01	4717784	4767784	0	0.02	0.01158
chr01	4767784	4817784	0	0	0.0153
chr01	4817784	4867784	0	0	0.29152
chr01	4867784	4917784	0	0	0
chr01	4917784	4967784	0	0	0.18044
chr01	4967784	5017784	0	0	0
chr01	5017784	5067784	0	0	0
chr01	5067784	5117784	0	0	0.1413
